Patronyme,patronyme_prepare
VEYMERANGE R. DESNOS,VEYMERANGE R. DESNOS
CENTRE JEUNES SOURIRES,JEUNES SOURIRES
SAINT ELOY LES LIBELLULES,SAINT ELOY LES LIBELLULES
VAUCLIN MIXTE A,VAUCLIN MIXTE A
PRIMAIRE - BALLÉVILLE,BALLÉVILLE
ILET CHARLES,ILET CHARLES
RIVIERE-PILOTE B,RIVIEREPILOTE B
CENTRE - BUSSANG,BUSSANG
RIVIERE SALEE A,RIVIERE SALEE A
BARRIERE LACROIX,BARRIERE LACROIX
OMER LESUEUR,OMER LESUEUR
RECULEE,RECULEE
RENE ACHEEN,RENE ACHEEN
SAINT- PIERRE MATERNELLE,SAINT PIERRE 
ANSE MADAME B,ANSE MADAME B
ACOUA 2,ACOUA 2
P.P.F. BANDRABOUA,P.P.F. BANDRABOUA
LES TROIS BADAMIERS,LES TROIS BADAMIERS
MVWERANI,MVWERANI
BAMBO EST PRIMAIRE,BAMBO EST 
P.P.F.  BANDRELE,P.P.F.  BANDRELE
NYAMBADAO PRIMAIRE,NYAMBADAO 
DAPANI PRIMAIRE,DAPANI 
BOUENI 1 MAIRIE,BOUENI 1 MAIRIE
HAGNOUDROU MATERNELLE SIMONE D,HAGNOUDROU  SIMONE D
BAMBO OUEST PRIMAIRE,BAMBO OUEST 
CHICONI 1  ANTAPAGNA,CHICONI 1  ANTAPAGNA
CHICONI  KAVANI,CHICONI  KAVANI
CHICONI 4 OURINI,CHICONI 4 OURINI
CHICONI KAVANI MATERNELLE,CHICONI KAVANI 
POROANI 2 MNADZINI,POROANI 2 MNADZINI
TSIMKOURA,TSIMKOURA
HAJANGUA MATERNELLE,HAJANGUA 
HAJANGUA,HAJANGUA
M. IMRANE ADAM,M. IMRANE ADAM
M. BOURA CHADHOULI,M. BOURA CHADHOULI
M. SAID COMBO YACOUT,M. SAID COMBO YACOUT
KOUNGOU MATERNELLE,KOUNGOU 
P.P.F.LONGONI,P.P.F.LONGONI
KOUNGOU BAOBAB 1 ELEMENTAIRE,KOUNGOU BAOBAB 1 
KOUNGOU MAIRIE,KOUNGOU MAIRIE
MAJICAVO KOROPA 1A,MAJICAVO KOROPA 1A
ABDALLAH SIDI,ABDALLAH SIDI
MR. RAKOTO,MR. RAKOTO
VAHIBE 1A,VAHIBE 1A
MTSAMBORO 2 ELEMENTAIRE,MTSAMBORO 2 
MTSAMBORO 3 HAUT,MTSAMBORO 3 HAUT
MTSANGAMOUJI 3,MTSANGAMOUJI 3
M'TSANGAMOUJI CENTRE MATERNELL,M'TSANGAMOUJI  MATERNELL
BARAKANI 2 ELEMENTAIRE,BARAKANI 2 
SADA 1 MTSANGANI MATERNELLE,SADA 1 MTSANGANI 
LES SEPT COLLINES,LES SEPT COLLINES
LES ODONS,LES ODONS
LES MILLEPERTUIS,LES MILLEPERTUIS
PIGACIERE,PIGACIERE
VENELLE AUX CHAMPS,VENELLE AUX CHAMPS
EUSTACHE RESTOUT,EUSTACHE RESTOUT
BICOQUET,BICOQUET
VENT DE PLAINE-CASTINE EN PLAI,VENT DE PLAINECASTINE EN PLAI
EGALITE,EGALITE
HASTINGS,HASTINGS
A JACQUEMIN - DOMBROT-SUR-VAIR,A JACQUEMIN  DOMBROTSURVAIR
SIMONE VEIL MATERNELLE,SIMONE VEIL 
LES GLYCINES ELEMENTAIRE,LES GLYCINES 
ECOLE PRIMAIRE STIVALIENNE - E,STIVALIENNE  E
PLCE JUST DE ROSTAING PRIMAIRE,PLCE JUST DE ROSTAING 
PRIMAIRE - EVAUX-ET-MENIL,EVAUXETMENIL
HUBERT POUQUET MATERNELLE,HUBERT POUQUET 
GUITTON PRIMAIRE,GUITTON 
HUBERT POUQUET ELEMENTAIRE,HUBERT POUQUET 
ÉLÉMENTAIRE - GORHEY,GORHEY
ROUTE DU CHENE PRIMAIRE,ROUTE DU CHENE 
ELEMENTAIRE - JUSSARUPT,JUSSARUPT
CENTRE - CHAPELLE-DV-BRUYERES,CHAPELLEDVBRUYERES
DAILLOUX,DAILLOUX
CAMILLE PICARD - LAMARCHE,CAMILLE PICARD  LAMARCHE
JOSEPH DEPIERRE,JOSEPH DEPIERRE
PRIMAIRE - LANDAVILLE,LANDAVILLE
PRIMAIRE - LERRAIN,LERRAIN
PRIMAIRE - MATTAINCOURT,MATTAINCOURT
JEANNE D'ARC ST-PIERRE FOURIER,JEANNE D'ARC STPIERRE FOURIER
LA CORDELIERE,LA CORDELIERE
LES TILLEULS - MOUSSEY,LES TILLEULS  MOUSSEY
LES TARENTELLES,LES TARENTELLES
JEAN ROSTAND - NEUFCHÂTEAU,JEAN ROSTAND  NEUFCHÂTEAU
MONTAIGNE - POUSSAY,MONTAIGNE  POUSSAY
ÉLÉMENTAIRE - PROV.-LÈS-DARNEY,PROV.LÈSDARNEY
CENTRE - RAMBERVILLERS,RAMBERVILLERS
MONSIEUR PAUL,MONSIEUR PAUL
GROUPE SCOLAIRE DU JOLI BOIS,DU JOLI BOIS
DU TILLEUL - RAON-L'ETAPE,DU TILLEUL  RAONL'ETAPE
PRIMAIRE - REBEUVILLE,REBEUVILLE
DES CABORNES,DES CABORNES
LES SABLONS LES MARAIS,LES SABLONS LES MARAIS
JACQUES PREVERT - SAINT-DIE,JACQUES PREVERT  SAINTDIE
P. BERNARD - SAULCY-SUR-MEURT.,P. BERNARD  SAULCYSURMEURT.
ÉLÉMENTAIRE - UBEXY,UBEXY
PRIMAIRE - VENTRON,VENTRON
PICARD-LIAUTHAUD,PICARDLIAUTHAUD
MATERNELLE - VOMECOURT,VOMECOURT
BENOIT BRANCIARD,BENOIT BRANCIARD
DES COLIBRIS,DES COLIBRIS
LASSAGNE-DOLTO,LASSAGNEDOLTO
LES MOLLIERES,LES MOLLIERES
LA CLE VERTE,LA CLE VERTE
ANTOINE CHARIAL,ANTOINE CHARIAL
OMBROSA,OMBROSA
CHENAVARD,CHENAVARD
D'HIRAUMONT,D'HIRAUMONT
L'ESPLANADE,L'ESPLANADE
SEMEUSE,SEMEUSE
DES BRUYERES,DES BRUYERES
DE LA RIVIERE,DE LA RIVIERE
ACHILLE PAYEUR,ACHILLE PAYEUR
14 JUILLET,14 JUILLET
LES TREVOIS,LES TREVOIS
LANEUVILLE-A-BAYARD,LANEUVILLEABAYARD
CURIE-FERRY,CURIEFERRY
PIERRE FORTAIN,PIERRE FORTAIN
ROSOY-SUR-AMANCE,ROSOYSURAMANCE
JORQUENAY,JORQUENAY
GERMAINE BUISSON,GERMAINE BUISSON
CLAUDE LEVI-STRAUSS,CLAUDE LEVISTRAUSS
GILIBERT,GILIBERT
LA BARRE EN OUCHE,LA BARRE EN OUCHE
VIALA,VIALA
JOHN KENNEDY,JOHN KENNEDY
YANNICK  BAYART,YANNICK  BAYART
LOUISE,LOUISE
LA REDEMPTION,LA REDEMPTION
CRESTIN,CRESTIN
SAINT JEAN DE DIEU,SAINT JEAN DE DIEU
CITE SCOLAIRE INTERNATIONALE,CITE SCOLAIRE INTERNATIONALE
DE MARNAND,DE MARNAND
PANILLEUSE,PANILLEUSE
GEORGES LABBE,GEORGES LABBE
CITE CASTELLANE,CITE CASTELLANE
3 PETITES POMMES,3 PETITES POMMES
CLAUDE POIRET,CLAUDE POIRET
JULES CHAURAN,JULES CHAURAN
LE THEILLEMENT,LE THEILLEMENT
DES DEUX VERSANTS,DES DEUX VERSANTS
GASTON BOUDET,GASTON BOUDET
ANTOINE BOIRON,ANTOINE BOIRON
COLUCHE,COLUCHE
CLAUDE FARRERE,CLAUDE FARRERE
ARC-EN-CIEL 1,ARCENCIEL 1
NOTRE DAME DES ROCHES,NOTRE DAME DES ROCHES
LE PASSERAT,LE PASSERAT
RADISSON,RADISSON
VINCENT SERRE,VINCENT SERRE
NOUVELLE DU CHAPOLY,NOUVELLE DU CHAPOLY
FLEVIEU,FLEVIEU
DE L'ORME,DE L'ORME
MARCEL PROVOST,MARCEL PROVOST
CH.PERRAULT,CH.PERRAULT
ECOLE DES RAINETTES,DES RAINETTES
ECOLE DES 4 VILLAGES ESPACE R.,DES 4 VILLAGES ESPACE R.
VANNOLLES,VANNOLLES
CHATEAU HERR,CHATEAU HERR
LILAS,LILAS
INTERCOMMUNALE ALDUPRE,INTERCOMMUNALE ALDUPRE
SERAPHINE LOUIS-ST PERAVI,SERAPHINE LOUISST PERAVI
ST PERAVI,ST PERAVI
JOUFFROY D'ABBANS,JOUFFROY D'ABBANS
CASANOVA-FERRY,CASANOVAFERRY
ABBANS JOUFFROY,ABBANS JOUFFROY
INTERCOM DES RIVES DE LA LOUE,INTERCOM DES RIVES DE LA LOUE
MOGNETTI,MOGNETTI
LES PRES DU MOULIN,LES PRES DU MOULIN
ONIMUS,ONIMUS
RENE GUEDE,RENE GUEDE
GROUPE A,GROUPE A
CONSTANT BOUDOUX,CONSTANT BOUDOUX
ALAIN DETRE,ALAIN DETRE
CHAUSSEE D HOCQUET,CHAUSSEE D HOCQUET
FG DE BEAUVAIS,FG DE BEAUVAIS
RUE DEVOSGE,RUE DEVOSGE
REAUMUR,REAUMUR
COEUR IMMACULE,COEUR IMMACULE
CHEMIN DES PLANTES,CHEMIN DES PLANTES
FAUBOURG DE HEM,FAUBOURG DE HEM
GROUPE SCOLAIRE DU STADE,DU STADE
DU BOIS LA DAME,DU BOIS LA DAME
JEAN GIRARDOT,JEAN GIRARDOT
AU BORD DE L EAU,AU BORD DE L EAU
AUGUSTIN DUJARDIN,AUGUSTIN DUJARDIN
LONGPRE,LONGPRE
FAUBOURG DE BEAUVAIS,FAUBOURG DE BEAUVAIS
EMILE LESOT GROUPE A,EMILE LESOT GROUPE A
HAMEAU DE LA HOUILLERE,HAMEAU DE LA HOUILLERE
HAMEAU DES GRANGES,HAMEAU DES GRANGES
MONT PAUTET,MONT PAUTET
ABERGEMENT LA RONCE,ABERGEMENT LA RONCE
AUBRYET - DESJARDINS,AUBRYET  DESJARDINS
GR.SCOL.F.COLLERY,GR.SCOL.F.COLLERY
GR. SCOL. GUILLAUME DUPRE,GR. SCOL. GUILLAUME DUPRE
TOUR DE VILLE MENDES FRANCE,TOUR DE VILLE MENDES FRANCE
BUTTES CHAUMONT,BUTTES CHAUMONT
FAUBOURG DE PISSELEUX N0 1,FAUBOURG DE PISSELEUX N0 1
ALLONNE,ALLONNE
ALBERT EVELOY,ALBERT EVELOY
DE LA NONETTE,DE LA NONETTE
MANOEL TALMANT,MANOEL TALMANT
PAUL DELACROIX,PAUL DELACROIX
H. BAYARD,H. BAYARD
FREDERIC-LOUIS POIRET,FREDERICLOUIS POIRET
ROLAND DOVILLE,ROLAND DOVILLE
THERESE DECLEMY,THERESE DECLEMY
ALBERT ROBIDA GRP A,ALBERT ROBIDA GRP A
GRANDE ECOLE JEAN-PAUL II,GRANDE  JEANPAUL II
LOUISE MICHEL JEAN BIONDI,LOUISE MICHEL JEAN BIONDI
DU VANDY,DU VANDY
DE MARQUECY,DE MARQUECY
BLETTERANS,BLETTERANS
AU FIL DE L'ORBE,AU FIL DE L'ORBE
LES COMMARDS,LES COMMARDS
POINTELIN,POINTELIN
DE LA MAYE,DE LA MAYE
HAMEAU DE FLAMICOURT,HAMEAU DE FLAMICOURT
LA CHAUMUSSE,LA CHAUMUSSE
ETIENNE MARCHAND,ETIENNE MARCHAND
FRANCOIS ROLLET,FRANCOIS ROLLET
ARAGON,ARAGON
LONS JEAN JACQUES ROUSSEAU MAT,LONS JEAN JACQUES ROUSSEAU MAT
MACORNAY,MACORNAY
HAMEAU DE PERTAIN,HAMEAU DE PERTAIN
MONTMOROT ELEM,MONTMOROT ELEM
ORGELET PIERRE BRANTUS ELEM,ORGELET PIERRE BRANTUS ELEM
MARIE  CURIE,MARIE  CURIE
YVONNE GIROUD,YVONNE GIROUD
AUXELLES HAUT,AUXELLES HAUT
BANVILLARS,BANVILLARS
HAMEAU DE OMIECOURT,HAMEAU DE OMIECOURT
LES CANETONS,LES CANETONS
ROBERT MALLET,ROBERT MALLET
MARTIN LUTHER KING PERGAUD,MARTIN LUTHER KING PERGAUD
LA MECHELLE,LA MECHELLE
JEAN CAYEUX,JEAN CAYEUX
GABRIEL DERAY,GABRIEL DERAY
JONCHEREY,JONCHEREY
LES CORDERIES,LES CORDERIES
MORVILLARS,MORVILLARS
ROBERT GIGNON,ROBERT GIGNON
VEZELOIS,VEZELOIS
DES HORIZONS,DES HORIZONS
PIERRE MEUNIER,PIERRE MEUNIER
ARTHUR DELATTRE,ARTHUR DELATTRE
YVETTE ET RENE FONTAINE,YVETTE ET RENE FONTAINE
A L'OREE DU BOIS,A L'OREE DU BOIS
JEAN SCHMIDT,JEAN SCHMIDT
LEO LAGRANGE NIVEAU 2,LEO LAGRANGE NIVEAU 2
LA RHONELLE,LA RHONELLE
JEANNE D'ARC FENELON,JEANNE D'ARC FENELON
JULES FERRY NIVEAU 2,JULES FERRY NIVEAU 2
NIVEAU 2 RPI 18,NIVEAU 2 RPI 18
VALMUSE,VALMUSE
RAYMOND GERNEZ,RAYMOND GERNEZ
LE JARD,LE JARD
LEON DEJARDIN,LEON DEJARDIN
JEAN-MARC BROQUET,JEANMARC BROQUET
BUISSON ROND,BUISSON ROND
APPLICATION TREMOUILLE,APPLICATION TREMOUILLE
MONTS DE VIGNES,MONTS DE VIGNES
PAUL DUROT,PAUL DUROT
LA PORTE D'OR,LA PORTE D'OR
FRANCOISE BADAR,FRANCOISE BADAR
SAINTE MARGUERITE-MARIE,SAINTE MARGUERITEMARIE
MARCEL CABY,MARCEL CABY
MARC ET OLGA CHOQUET,MARC ET OLGA CHOQUET
LES BERGES DE SAONE,LES BERGES DE SAONE
LOUIS BAILLY,LOUIS BAILLY
ANNA DE NOAILLES,ANNA DE NOAILLES
ROUVROY,ROUVROY
LES CARDAMINES,LES CARDAMINES
HAMEAU DE HOCQUELUS,HAMEAU DE HOCQUELUS
PIGEONNIER,PIGEONNIER
JEAN-FRANCOIS LESUEUR,JEANFRANCOIS LESUEUR
BAPAUME,BAPAUME
DELPECH,DELPECH
LES MOSAIQUES,LES MOSAIQUES
PETIT SAINT JEAN,PETIT SAINT JEAN
ARTHUR CLIFFORD STRIBLING,ARTHUR CLIFFORD STRIBLING
LES 5 TILLEULS,LES 5 TILLEULS
LOUIS  PROT,LOUIS  PROT
LA CHAPELETTE,LA CHAPELETTE
VOLTAIRE NIVEAU 2,VOLTAIRE NIVEAU 2
PATRICK ROY (SEVIGNE),PATRICK ROY (SEVIGNE)
JULES MOUSSERON,JULES MOUSSERON
EUGENE LENGLET,EUGENE LENGLET
DU TORPILLEUR,DU TORPILLEUR
NEPTUNE,NEPTUNE
DE LA MER,DE LA MER
NICOLAS BARRE,NICOLAS BARRE
DE L'AMIRAUTE,DE L'AMIRAUTE
COPERNIC,COPERNIC
R.P.I. ANATOLE FRANCE,R.P.I. ANATOLE FRANCE
ERNEST RENAN NIVEAU 1,ERNEST RENAN NIVEAU 1
JEAN PERRAUDIN,JEAN PERRAUDIN
GROUPE SCOLAIRE DU RIAU,DU RIAU
MOUESSE,MOUESSE
L'ARMANCE,L'ARMANCE
VICTOR LORIDAN,VICTOR LORIDAN
ANNE FRANK - JEAN MOULIN,ANNE FRANK  JEAN MOULIN
EMILE LOUIS MASSIET DU BIEST,EMILE LOUIS MASSIET DU BIEST
PAUL LARUE,PAUL LARUE
LES HAUTS QUARTIERS,LES HAUTS QUARTIERS
DE LA SENSEE - RPI 23,DE LA SENSEE  RPI 23
CREPIN-SAINT AUBERT,CREPINSAINT AUBERT
ECOLE ELEMENTAIRE DU MAROUGE,DU MAROUGE
ETIENNE JULES MAREY,ETIENNE JULES MAREY
ST JEAN DES VIGNES,ST JEAN DES VIGNES
OMER OLLIVIER,OMER OLLIVIER
VIVANT DENON,VIVANT DENON
CALANDRETA DE BANHERAS,CALANDRETA DE BANHERAS
ECOLE PRIMAIRE GUCHEN,GUCHEN
LE GUERISSA,LE GUERISSA
HONORE AUZON,HONORE AUZON
JEAN DE LA FONTAINE - THEOPHIL,JEAN DE LA FONTAINE  THEOPHIL
LABARRIERE,LABARRIERE
MOULIN DE PIERRE,MOULIN DE PIERRE
GEORGES BOISSEAU,GEORGES BOISSEAU
VAL D'AUSSILLON,VAL D'AUSSILLON
AUGUSTIN MALROUX,AUGUSTIN MALROUX
LA VENTENAYE,LA VENTENAYE
NEGRIN,NEGRIN
JACQUES DURAND,JACQUES DURAND
L'INTERLIGNE,L'INTERLIGNE
HELENE RATTIER,HELENE RATTIER
HAMEAU DE MATHALY,HAMEAU DE MATHALY
LALANDE,LALANDE
ANNE DACIER,ANNE DACIER
DU JARDIN EXTRAORDINAIRE,DU JARDIN EXTRAORDINAIRE
LA PETITE LOIRE,LA PETITE LOIRE
ECOLE MERE TERESA,MERE TERESA
LE PETIT VIVIER,LE PETIT VIVIER
RPID 9 LE ROND DES DAMES BOURG,RPID 9 LE ROND DES DAMES BOURG
KIRIKOU,KIRIKOU
ARIAN LEMALBALAYEUR DES CIMES,ARIAN LEMALBALAYEUR DES CIMES
ST-PIERRE A,STPIERRE A
LA BOURIE FRESNIERE,LA BOURIE FRESNIERE
ST-JEAN - SAINTE FAMILLE,STJEAN  SAINTE FAMILLE
MAURICE LUDARD,MAURICE LUDARD
NOTRE-DAME DE L'ENFANCE A,NOTREDAME DE L'ENFANCE A
MARIE ET ARTHUR RAYNEAU,MARIE ET ARTHUR RAYNEAU
DES P'TITS LOUPIOTS,DES P'TITS LOUPIOTS
LES PETITES GOGANES,LES PETITES GOGANES
L'ARC EN CIEL A,L'ARC EN CIEL A
LE BOURG D'IRE,LE BOURG D'IRE
LA BONNE AVENTURE,LA BONNE AVENTURE
FONTAINE-GUERIN,FONTAINEGUERIN
LES STERNES,LES STERNES
SAINT JEAN A,SAINT JEAN A
ST GABRIEL,ST GABRIEL
LES BIBLUTINS,LES BIBLUTINS
GENEVIEVE VERGER,GENEVIEVE VERGER
CATHOLIQUE ARC EN CIEL,CATHOLIQUE ARC EN CIEL
FELIX PAUGER,FELIX PAUGER
LEOCADIE CZYZ,LEOCADIE CZYZ
NELSON MANDELA -SONIA DELAUNAY,NELSON MANDELA SONIA DELAUNAY
PIERRE GABRIEL BOUDOT,PIERRE GABRIEL BOUDOT
ECOLE DE  CLERMAIN,DE  CLERMAIN
LORIEUX,LORIEUX
GINETTE ET GILBERT FOURNES,GINETTE ET GILBERT FOURNES
JEAN LACAZE,JEAN LACAZE
J B VER - F DOLTO,J B VER  F DOLTO
L'OSTREA,L'OSTREA
SAINT DOUCELIN,SAINT DOUCELIN
CHAMPS D'ALOUP,CHAMPS D'ALOUP
ALDO FERRARO,ALDO FERRARO
SAINTE-PAULE,SAINTEPAULE
JEHAN COUSIN,JEHAN COUSIN
J. B. CHAUVEAU,J. B. CHAUVEAU
NOTRE DAME DES NOES,NOTRE DAME DES NOES
J. CADORET,J. CADORET
DES MENHIRS,DES MENHIRS
PAUL LE FLEM,PAUL LE FLEM
LE CROISSANT,LE CROISSANT
DIWAN  JAKEZ A GELENN,DIWAN  JAKEZ A GELENN
VENT D'EVEIL,VENT D'EVEIL
ANDRE GUIGOT,ANDRE GUIGOT
PORT HOREL,PORT HOREL
MAGELLAN,MAGELLAN
BETHLEEM,BETHLEEM
SAINT-NICOLAS A,SAINTNICOLAS A
LE DOLMEN,LE DOLMEN
LES HAUTES VIGNES,LES HAUTES VIGNES
LES PIERRES BLEUES,LES PIERRES BLEUES
LOUIS FERRAND A,LOUIS FERRAND A
TREMONT,TREMONT
DE L'EVRE,DE L'EVRE
BREL JACQUES,BREL JACQUES
LOUIS CHEDID,LOUIS CHEDID
LA GRANDE VALAISIERE,LA GRANDE VALAISIERE
VAL DE BOOTZ,VAL DE BOOTZ
G.S. VICTOR HUGO,G.S. VICTOR HUGO
AUGUSTE LECUYER,AUGUSTE LECUYER
MANUELA MONTEBRUN,MANUELA MONTEBRUN
STE ANNE RPI COUCIRTE,STE ANNE RPI COUCIRTE
JEAN-PIERRE BOURDIN,JEANPIERRE BOURDIN
FERNAND BALES,FERNAND BALES
HAMEAU DE SAINT-MARTIAL,HAMEAU DE SAINTMARTIAL
NAZARETH-ST JOSEPH,NAZARETHST JOSEPH
LES TERRASSES - MARCEL VIAUD,LES TERRASSES  MARCEL VIAUD
ARMELLE CHEVALIER,ARMELLE CHEVALIER
ROSE ORAIN,ROSE ORAIN
ETRE ET DEVENIR,ETRE ET DEVENIR
SAINTE MARIE L'ABBAYE,SAINTE MARIE L'ABBAYE
ELEMENTAIRE (R.P.I.D AVEC POUI,(R.P.I.D AVEC POUI
NOTRE-DAME DU SACRE-COEUR,NOTREDAME DU SACRECOEUR
LOUIS CHAIGNE,LOUIS CHAIGNE
BANON (DE),BANON (DE)
LA BLANCHETIERE,LA BLANCHETIERE
FENOUILLERES,FENOUILLERES
VAL SAINT ANDRE,VAL SAINT ANDRE
TROIS SAUTETS (LES),TROIS SAUTETS (LES)
HAROUYS,HAROUYS
JEAN ZAY GPE 1,JEAN ZAY GPE 1
JOSEPH ROUMANILLE,JOSEPH ROUMANILLE
ANDRE LERMITE,ANDRE LERMITE
MAGNANARELLES (LES),MAGNANARELLES (LES)
CLOITRE (DU),CLOITRE (DU)
CAMP MAJOR,CAMP MAJOR
ELIANE D'AMORE,ELIANE D'AMORE
ROQUECOQUILLE,ROQUECOQUILLE
BATIGNOLLES (LES),BATIGNOLLES (LES)
DOCTEUR TEILLAIS,DOCTEUR TEILLAIS
BOIS SAINT-LOUIS,BOIS SAINTLOUIS
BOIS RAGUENET,BOIS RAGUENET
PERE CEYRAC,PERE CEYRAC
LA GALARNIERE,LA GALARNIERE
PIERRE ATTELEE,PIERRE ATTELEE
FRANCOIS DALLET - LES PINS,FRANCOIS DALLET  LES PINS
MAURICE PIGEON,MAURICE PIGEON
ST HERMELAND,ST HERMELAND
EUGENE NICOL,EUGENE NICOL
L'HERBINERIE,L'HERBINERIE
ST VITAL,ST VITAL
ALEXANDRE VINCENT,ALEXANDRE VINCENT
CATHOLIQUE SOURCES VIVES,CATHOLIQUE SOURCES VIVES
SAINT MARTIN (ENSEMBLE SCOLAIR,SAINT MARTIN (ENSEMBLE SCOLAIR
SAINT JEAN DE LA BARRE,SAINT JEAN DE LA BARRE
LEONCE ARTAUD,LEONCE ARTAUD
CROS (LE),CROS (LE)
CROS (DU),CROS (DU)
RAYMONDE  AVON,RAYMONDE  AVON
OUVIERE,OUVIERE
GRAVESON,GRAVESON
GOUIN 1,GOUIN 1
MARIA -FABRY,MARIA FABRY
AMANDIERS (LES),AMANDIERS (LES)
SAINT LOUIS SAINTE MARIE,SAINT LOUIS SAINTE MARIE
EXTERNAT ST FRANCOIS D'ASSISE,EXTERNAT ST FRANCOIS D'ASSISE
BONNEVEINE 1,BONNEVEINE 1
MAZARGUES GRANDE BASTIDE,MAZARGUES GRANDE BASTIDE
ROSE CASTORS,ROSE CASTORS
BRICARDE,BRICARDE
PEYSSONNEL 1,PEYSSONNEL 1
NEUVE SAINTE-CATHERINE,NEUVE SAINTECATHERINE
MONTREDON,MONTREDON
MAZARGUES BEAUCHENE,MAZARGUES BEAUCHENE
MERLAN,MERLAN
VERDURON HAUT,VERDURON HAUT
CHATEAU SEC,CHATEAU SEC
VALBARELLE (LA),VALBARELLE (LA)
MAURELLE JONQUILLES,MAURELLE JONQUILLES
TOUR-SAINTE,TOURSAINTE
FRANCOIS MOISSON REPUBLIQUE,FRANCOIS MOISSON REPUBLIQUE
BONNEVEINE,BONNEVEINE
PRAIRIES (LES),PRAIRIES (LES)
SAINT LOUIS CONSOLAT,SAINT LOUIS CONSOLAT
ALAIN LOPEZ,ALAIN LOPEZ
MIMET VILLAGE,MIMET VILLAGE
LURIAN 2,LURIAN 2
JEAN CRESPI,JEAN CRESPI
ROBERT DEHLINGER,ROBERT DEHLINGER
MAURICE PLANTIER,MAURICE PLANTIER
CAZAN-VERNEGUES,CAZANVERNEGUES
BRACONNOT,BRACONNOT
DES CYTISES,DES CYTISES
MARCEL KALK,MARCEL KALK
LANGENBERG,LANGENBERG
GROUPE SCOLAIRE DU PARC,DU PARC
COLLINE PIERRE PHILIPPS,COLLINE PIERRE PHILIPPS
ECOLE DU CASTEL,DU CASTEL
MAILLAUDE,MAILLAUDE
ALPHONSE DAUDET GROUPE B,ALPHONSE DAUDET GROUPE B
F. MIDY,F. MIDY
PEYNET MAT,PEYNET MAT
VALLIERES LA CORCHADE,VALLIERES LA CORCHADE
VALLIERES LES HAUTS VALLIERES,VALLIERES LES HAUTS VALLIERES
BORNY ERCKMANN CHATRIAN 2,BORNY ERCKMANN CHATRIAN 2
BORNY DOMAINE FLEURI,BORNY DOMAINE FLEURI
NATHANEL ISRAELITE,NATHANEL ISRAELITE
ARENE,ARENE
BORNY GR3 LA ROSELIERE,BORNY GR3 LA ROSELIERE
BORNY CENTRE L. PERGAUD,BORNY  L. PERGAUD
GRIGY J.DE LA FONTAINE,GRIGY J.DE LA FONTAINE
FORT MOSELLE QUATRE SAISONS,FORT MOSELLE QUATRE SAISONS
CALADE ST ROCH MAT,CALADE ST ROCH MAT
CHARLES MARCHETTI,CHARLES MARCHETTI
CATHOLIQUE,CATHOLIQUE
A. STREIFF,A. STREIFF
CENTRE J.D'ARC,J.D'ARC
RICOLFI,RICOLFI
JASMINS 2 MAT (LES),JASMINS 2 MAT (LES)
LE LUTIN SOTRE,LE LUTIN SOTRE
CINSAULT MAT,CINSAULT MAT
TEISSEIRE,TEISSEIRE
SAINT JEAN MAT,SAINT JEAN MAT
VIEILLE VERRERIE,VIEILLE VERRERIE
BALLAND MAT,BALLAND MAT
AMIRAL DE GRASSE,AMIRAL DE GRASSE
VAL DES PINS MAT,VAL DES PINS MAT
COUGOUSSOLES MAT,COUGOUSSOLES MAT
GR.SCOLAIRE DE LA BICKENALBE,GR.SCOLAIRE DE LA BICKENALBE
TROIS COLLINES (LES),TROIS COLLINES (LES)
F. GUERMONT,F. GUERMONT
BON VOYAGE 1,BON VOYAGE 1
PONS SARAVI,PONS SARAVI
CAUCADE MAT,CAUCADE MAT
SAINT ROCH MAT,SAINT ROCH MAT
ARIANE MESANGES MAT,ARIANE MESANGES MAT
APRAXINE,APRAXINE
MADONETTE TERRON MAT (LA),MADONETTE TERRON MAT (LA)
FRANCOIS NARDI,FRANCOIS NARDI
CITE DES PINS,CITE DES PINS
LES ROUTES,LES ROUTES
GERBERT SAINT-JOSEPH,GERBERT SAINTJOSEPH
JEAN BAPTISTE RAMES,JEAN BAPTISTE RAMES
CHALINARGUES,CHALINARGUES
GROUPE SCOLAIRE MARCELLIN BOUL,MARCELLIN BOUL
LA CHARTREUSE,LA CHARTREUSE
ESPALEM,ESPALEM
ECOLE DES SAPINS,DES SAPINS
LANDOS,LANDOS
LAVOUTE-SUR-LOIRE,LAVOUTESURLOIRE
LE PERTUIS,LE PERTUIS
GUITTARD,GUITTARD
TREVAS,TREVAS
SAINT-JULIEN-CHAPTEUIL,SAINTJULIENCHAPTEUIL
SAINT-PAL-DE-CHALENCON,SAINTPALDECHALENCON
DU VALENCON,DU VALENCON
AU PAYS DES ENFANTS SAGES,AU PAYS DES ENFANTS SAGES
GERMAIN ALIX,GERMAIN ALIX
LES ECOLES DU CENTRE,LES S DU 
AU BORD DE L ANCRE,AU BORD DE L ANCRE
LES TILLEULS ETIENNE MARCHAND,LES TILLEULS ETIENNE MARCHAND
PHILIPPE CORENTIN,PHILIPPE CORENTIN
VICTORIEN GIROT,VICTORIEN GIROT
RPC TROIS RIVIERES,RPC TROIS RIVIERES
HAMEAU DE WATHIEHURT,HAMEAU DE WATHIEHURT
JEANNE ARNAUD ET JEAN CAYEUX,JEANNE ARNAUD ET JEAN CAYEUX
JACQUES DEBARY,JACQUES DEBARY
